req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-DB-001,DB,Schema,Database setup with SQLite and schema migrations,Tables created with proper types and constraints,,test_database_setup,Integration Test,MISSING,P0,1,Foundation: all entities depend on database,0.5,,REQ-AUTH-001|REQ-VALID-001|REQ-ERR-001,,,,,requirements/DB/REQ-DB-001.md,
REQ-AUTH-001,AUTH,Registration,User registration with password hashing,POST /auth/register creates user with hashed password,,test_user_registration,Integration Test,MISSING,P0,1,Authentication is required for all protected endpoints,0.5,REQ-DB-001,REQ-AUTH-002,,,,,requirements/AUTH/REQ-AUTH-001.md,
REQ-AUTH-002,AUTH,JWT,JWT login and authentication middleware,POST /auth/login returns JWT; middleware validates on protected routes,,test_jwt_auth,Integration Test,MISSING,P0,1,All CRUD endpoints depend on auth middleware,0.5,REQ-AUTH-001,REQ-PROJ-001|REQ-LOG-001,,,,,requirements/AUTH/REQ-AUTH-002.md,
REQ-PROJ-001,PROJ,CRUD,Project CRUD operations scoped to authenticated user,Create/read/update/delete projects with ownership enforcement,,test_project_crud,Integration Test,MISSING,P0,2,Projects are containers for tasks,0.5,REQ-AUTH-002,REQ-TASK-001,,,,,requirements/PROJ/REQ-PROJ-001.md,
REQ-TASK-001,TASK,CRUD,Task CRUD operations scoped to project,Create/read/update/delete tasks within projects,,test_task_crud,Integration Test,MISSING,P0,2,Tasks are the core entity,0.5,REQ-PROJ-001,REQ-TASK-002|REQ-TASK-003|REQ-LABEL-001,,,,,requirements/TASK/REQ-TASK-001.md,
REQ-TASK-002,TASK,Status,Task status state machine with valid transitions,TODO->IN_PROGRESS->DONE with 422 on invalid transitions,,test_status_transitions,Integration Test,MISSING,HIGH,2,State machine prevents invalid workflows,0.5,REQ-TASK-001,,,,,,requirements/TASK/REQ-TASK-002.md,
REQ-TASK-003,TASK,DueDate,Task due dates with overdue flag,Due date stored as ISO 8601 with is_overdue boolean,,test_task_due_dates,Integration Test,MISSING,HIGH,2,Due dates enable overdue detection,0.5,REQ-TASK-001,REQ-BG-001,,,,,requirements/TASK/REQ-TASK-003.md,
REQ-LABEL-001,LABEL,CRUD,Label CRUD and task-label association,Create labels and attach/detach from tasks (many-to-many),,test_label_crud,Integration Test,MISSING,HIGH,3,Labels provide cross-cutting categorization,0.5,REQ-TASK-001,,,,,,requirements/LABEL/REQ-LABEL-001.md,
REQ-LOG-001,LOG,Activity,Append-only activity log for all mutations,Every create/update/delete records timestamp user action entity,,test_activity_log,Integration Test,MISSING,HIGH,2,Audit trail for compliance and debugging,0.5,REQ-AUTH-002,,,,,,requirements/LOG/REQ-LOG-001.md,
REQ-BG-001,BG,Overdue,Background overdue task detection,POST /tasks/check-overdue flags tasks past due_date as overdue,,test_overdue_detection,Integration Test,MISSING,MEDIUM,3,Automated status management,0.5,REQ-TASK-003,,,,,,requirements/BG/REQ-BG-001.md,
REQ-VALID-001,VALID,Input,Input validation on all endpoints,422 with descriptive errors for invalid input,,test_input_validation,Integration Test,MISSING,HIGH,2,Prevents corrupt data and provides clear error messages,0.5,REQ-DB-001,,,,,,requirements/VALID/REQ-VALID-001.md,
REQ-ERR-001,ERR,Responses,Consistent error responses across all endpoints,401/403/404/422 with correct status codes and messages,,test_error_responses,Integration Test,MISSING,HIGH,2,Consistent API contract for consumers,0.5,REQ-DB-001,,,,,,requirements/ERR/REQ-ERR-001.md,
REQ-TEST-001,TEST,Suite,Comprehensive test suite with single-command execution,All endpoints and edge cases covered with pass/fail reporting,,test_comprehensive_suite,Integration Test,MISSING,P0,3,Verification depends on test coverage,1,REQ-TASK-002|REQ-LABEL-001|REQ-LOG-001|REQ-BG-001|REQ-VALID-001|REQ-ERR-001,,,,,,requirements/TEST/REQ-TEST-001.md,
