req_id,category,subcategory,requirement_text,target_value,test_module,test_function,validation_method,status,priority,phase,notes,effort_weeks,dependencies,blocks,assignee,sprint,started_date,completed_date,requirement_file,external_id
REQ-STORE-001,STORAGE,Database,Initialize SQLite database with urls table (id short_code original_url clicks created_at),Table created on first run,tests,test_db_init,Unit Test,MISSING,P0,1,Foundation -- all API endpoints depend on storage,0.5,,REQ-API-001|REQ-API-002|REQ-API-003,,,,,,
REQ-STORE-002,STORAGE,Codegen,Generate unique 6-8 character alphanumeric short codes,No collisions in 10000 generations,tests,test_codegen_unique,Unit Test,MISSING,P0,1,Must be URL-safe: [a-zA-Z0-9],0.25,REQ-STORE-001,REQ-API-001,,,,,,
REQ-API-001,API,Shorten,POST /shorten accepts JSON url and returns short_code and short_url,HTTP 201 with valid JSON response,tests,test_post_shorten,Integration Test,MISSING,P0,2,Primary endpoint,0.5,REQ-STORE-001|REQ-STORE-002,REQ-VALID-001|REQ-RATE-001,,,,,,
REQ-API-002,API,Redirect,GET /:code redirects to original URL with HTTP 301,301 redirect to stored URL,tests,test_get_redirect,Integration Test,MISSING,P0,2,Must increment click counter,0.25,REQ-STORE-001,,,,,,,
REQ-API-003,API,Stats,GET /stats/:code returns JSON with short_code url and clicks,HTTP 200 with click count,tests,test_get_stats,Integration Test,MISSING,HIGH,2,Read-only endpoint,0.25,REQ-STORE-001|REQ-API-002,,,,,,,
REQ-VALID-001,VALIDATION,URL,Reject non-URL input on POST /shorten with HTTP 400,400 for malformed URLs,tests,test_invalid_url,Unit Test,MISSING,HIGH,2,Must validate before storing,0.25,REQ-API-001,,,,,,,
REQ-VALID-002,VALIDATION,Empty,Reject empty body on POST /shorten with HTTP 400,400 for empty body,tests,test_empty_body,Unit Test,MISSING,HIGH,2,Edge case,0.1,REQ-API-001,,,,,,,
REQ-VALID-003,VALIDATION,NotFound,Return HTTP 404 for unknown short codes on GET and stats,404 for nonexistent codes,tests,test_not_found,Unit Test,MISSING,HIGH,2,Both /:code and /stats/:code,0.1,REQ-API-002|REQ-API-003,,,,,,,
REQ-RATE-001,RATELIMIT,IP,Rate limit POST /shorten to 10 requests per minute per IP,429 after 10 requests in 60s,tests,test_rate_limit,Integration Test,MISSING,MEDIUM,3,Per-IP tracking,0.5,REQ-API-001,,,,,,,
REQ-TEST-001,TESTING,Suite,Comprehensive test suite runnable with single command,make test or equivalent exits 0,tests,test_suite_runs,Inspection,MISSING,P0,3,All endpoints and edge cases covered,0.5,REQ-API-001|REQ-API-002|REQ-API-003|REQ-VALID-001|REQ-VALID-002|REQ-VALID-003|REQ-RATE-001,,,,,,,
