session_id,timestamp,experiment,condition,run_number,model,prompt_sha256,input_tokens,output_tokens,total_tokens,rtmx_tokens,planning_tokens,execution_tokens,turns,backtracks,tool_calls_rtmx,tool_calls_other,outcome,tests_total,tests_passed,tests_failed,wall_clock_seconds,knowledge_entropy,transcript_path
4906a328-3b3e-4cc1-a3ce-3296360f050f,2026-05-13T13:36:49Z,url-shortener,control,1,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,877401,13395,890796,0,60,890736,28,0,0,27,PASS,23,23,0,246,,results/raw/url-shortener/control/4906a328-3b3e-4cc1-a3ce-3296360f050f
21405f3e-3947-43c2-a157-ecfbc3926a19,2026-05-13T13:40:55Z,url-shortener,control,2,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,51883,428,52311,0,60,52251,1,0,0,32,PASS,29,29,0,1226,,results/raw/url-shortener/control/21405f3e-3947-43c2-a157-ecfbc3926a19
26481dd4-f410-4a1a-a7c0-d62e668ddc0d,2026-05-13T14:01:38Z,url-shortener,control,3,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,1099776,18581,1118357,0,102,1118255,36,0,0,35,PASS,32,32,0,672,,results/raw/url-shortener/control/26481dd4-f410-4a1a-a7c0-d62e668ddc0d
93c05ef5-6aab-4470-b9a8-a8af3215907d,2026-05-13T14:13:05Z,url-shortener,control,4,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,2526751,24954,2551705,0,67,2551638,57,0,0,56,PASS,21,21,0,580,,results/raw/url-shortener/control/93c05ef5-6aab-4470-b9a8-a8af3215907d
ffbd3948-053d-4f99-99a3-445187efbfff,2026-05-13T14:22:57Z,url-shortener,control,5,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,2104784,28646,2133430,0,81,2133349,49,3,0,48,PASS,74,74,0,449,,results/raw/url-shortener/control/ffbd3948-053d-4f99-99a3-445187efbfff
39264e51-a5a7-48d8-87e2-e7c6e18ede77,2026-05-14T13:02:45Z,url-shortener,treatment,1,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,2319771,25957,2345728,0,344,2345384,61,0,10,50,PASS,81,81,0,452,,results/raw/url-shortener/treatment/39264e51-a5a7-48d8-87e2-e7c6e18ede77
bda009d7-9f13-4da6-87d6-552b15e5b53d,2026-05-14T13:10:22Z,url-shortener,treatment,2,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,1059299,16284,1075583,0,242,1075341,36,0,6,29,PASS,18,18,0,1904,,results/raw/url-shortener/treatment/bda009d7-9f13-4da6-87d6-552b15e5b53d
721a6d42-7152-4da6-b560-fef3b14a6b35,2026-05-14T13:42:14Z,url-shortener,treatment,3,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,2446177,21624,2467801,0,297,2467504,61,1,11,59,FAIL,0,0,0,5023,,results/raw/url-shortener/treatment/721a6d42-7152-4da6-b560-fef3b14a6b35
9a2dabd7-6c7d-45e6-aa20-970585fad94b,2026-05-14T15:07:58Z,url-shortener,treatment,4,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,1401407,18112,1419519,0,291,1419228,45,0,6,39,PASS,19,19,0,319,,results/raw/url-shortener/treatment/9a2dabd7-6c7d-45e6-aa20-970585fad94b
67d3dc04-801b-4165-bff4-6995d6b736d9,2026-05-14T15:13:21Z,url-shortener,treatment,5,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,2863435,36336,2899771,0,308,2899463,64,0,8,55,PASS,24,24,0,851,,results/raw/url-shortener/treatment/67d3dc04-801b-4165-bff4-6995d6b736d9
8fcaee99-c1b7-47ce-ae68-659d334ce17a,2026-05-14T20:14:18Z,url-shortener,control,1,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,740705,10508,751213,0,78,751135,26,0,0,25,PASS,17,17,0,191,0.0,results/raw/url-shortener/control/8fcaee99-c1b7-47ce-ae68-659d334ce17a
6208e690-7ee0-4a7e-895f-ddb819fa0ff8,2026-05-14T20:13:57Z,task-manager,control,1,claude-sonnet-4-20250514,fabdd00e37d9a81a25f10c1fa4b979956cbaf45acb99b9a43bcd2e383a2ae08e,2825055,43037,2868092,0,112,2867980,62,0,0,61,PARTIAL,68,66,2,616,5.0,results/raw/task-manager/control/6208e690-7ee0-4a7e-895f-ddb819fa0ff8
f20cf132-8bb7-45d0-aceb-72dbefa9be88,2026-05-14T20:17:34Z,url-shortener,control,2,claude-sonnet-4-20250514,a64a7458d32a859c2d6435a838f7ab30d2ac104bb176fa5ef06797821b9db5b2,1805361,23916,1829277,0,60,1829217,50,1,0,49,PASS,51,51,0,434,5.0,results/raw/url-shortener/control/f20cf132-8bb7-45d0-aceb-72dbefa9be88
7b582401-ecfd-4140-856f-4230815d6b0b,2026-05-14T20:26:02Z,task-manager,control,2,claude-sonnet-4-20250514,fabdd00e37d9a81a25f10c1fa4b979956cbaf45acb99b9a43bcd2e383a2ae08e,2707419,44045,2751464,0,66,2751398,58,0,0,57,PARTIAL,54,52,2,649,5.0,results/raw/task-manager/control/7b582401-ecfd-4140-856f-4230815d6b0b
